Date_,Adj Close_GOOGL,Close_GOOGL,High_GOOGL,Low_GOOGL,Open_GOOGL,Volume_GOOGL,Date,reportedCurrency_x,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency_y,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y,GDP,Inflation,Unemployment,Interest Rate,Sentiment
2022-12-12,93.07951355,93.30999756,93.55999756,91.61000061,92.70999908,29420000,2022-12-12,USD,365264000000,164795000000,21879000000,113762000000,2670000000,40258000000,202772000000,112668000000,59042000000,31044000000,2084000000,28960000000,212885000000,32795000000,91883000000,10775000000,8707000000,109120000000,69300000000,5128000000,4507000000,298000000,0,39820000000,1844000000,15312000000,0,9900000000,15312000000,57787000000,2247000000,256144000000,None,195563000000,68184000000,12849000000,USD,155076000000,281279000000,126203000000,126203000000,74842000000,42291000000,39500000000,81791000000,None,-357000000,2174000000,357000000,281636000000,381000000,13475000000,13475000000,71328000000,11356000000,357000000,59972000000,53992000000,71685000000,91333000000,59972000000,USD,91495000000,2722000000,None,4989000000,7363000000,13475000000,31485000000,2317000000,None,59972000000,-20298000000,-69757000000,None,59296000000,59296000000,None,None,None,None,None,None,None,-59296000000,None,1440000000,None,59972000000,26734.277,297.863,3.6,3.08,1
2022-12-13,95.3937912,95.62999725,99.52999878,95.02999878,97.76000214,40593700,2022-12-13,USD,365264000000,164795000000,21879000000,113762000000,2670000000,40258000000,202772000000,112668000000,59042000000,31044000000,2084000000,28960000000,212885000000,32795000000,91883000000,10775000000,8707000000,109120000000,69300000000,5128000000,4507000000,298000000,0,39820000000,1844000000,15312000000,0,9900000000,15312000000,57787000000,2247000000,256144000000,None,195563000000,68184000000,12849000000,USD,155076000000,281279000000,126203000000,126203000000,74842000000,42291000000,39500000000,81791000000,None,-357000000,2174000000,357000000,281636000000,381000000,13475000000,13475000000,71328000000,11356000000,357000000,59972000000,53992000000,71685000000,91333000000,59972000000,USD,91495000000,2722000000,None,4989000000,7363000000,13475000000,31485000000,2317000000,None,59972000000,-20298000000,-69757000000,None,59296000000,59296000000,None,None,None,None,None,None,None,-59296000000,None,1440000000,None,59972000000,26734.277,297.863,3.6,3.08,-1
2022-12-14,94.83517456,95.06999969,96.87000275,93.59999847,95.19999695,28733600,2022-12-14,USD,365264000000,164795000000,21879000000,113762000000,2670000000,40258000000,202772000000,112668000000,59042000000,31044000000,2084000000,28960000000,212885000000,32795000000,91883000000,10775000000,8707000000,109120000000,69300000000,5128000000,4507000000,298000000,0,39820000000,1844000000,15312000000,0,9900000000,15312000000,57787000000,2247000000,256144000000,None,195563000000,68184000000,12849000000,USD,155076000000,281279000000,126203000000,126203000000,74842000000,42291000000,39500000000,81791000000,None,-357000000,2174000000,357000000,281636000000,381000000,13475000000,13475000000,71328000000,11356000000,357000000,59972000000,53992000000,71685000000,91333000000,59972000000,USD,91495000000,2722000000,None,4989000000,7363000000,13475000000,31485000000,2317000000,None,59972000000,-20298000000,-69757000000,None,59296000000,59296000000,None,None,None,None,None,None,None,-59296000000,None,1440000000,None,59972000000,26734.277,297.863,3.6,3.08,-1
2022-12-15,90.63557434,90.86000061,93.63999939,90.01000214,93.12999725,40107000,2022-12-15,USD,365264000000,164795000000,21879000000,113762000000,2670000000,40258000000,202772000000,112668000000,59042000000,31044000000,2084000000,28960000000,212885000000,32795000000,91883000000,10775000000,8707000000,109120000000,69300000000,5128000000,4507000000,298000000,0,39820000000,1844000000,15312000000,0,9900000000,15312000000,57787000000,2247000000,256144000000,None,195563000000,68184000000,12849000000,USD,155076000000,281279000000,126203000000,126203000000,74842000000,42291000000,39500000000,81791000000,None,-357000000,2174000000,357000000,281636000000,381000000,13475000000,13475000000,71328000000,11356000000,357000000,59972000000,53992000000,71685000000,91333000000,59972000000,USD,91495000000,2722000000,None,4989000000,7363000000,13475000000,31485000000,2317000000,None,59972000000,-20298000000,-69757000000,None,59296000000,59296000000,None,None,None,None,None,None,None,-59296000000,None,1440000000,None,59972000000,26734.277,297.863,3.6,3.08,-1
2022-12-16,90.03705597,90.26000214,91.33000183,89.51999664,90.76000214,58011800,2022-12-16,USD,365264000000,164795000000,21879000000,113762000000,2670000000,40258000000,202772000000,112668000000,59042000000,31044000000,2084000000,28960000000,212885000000,32795000000,91883000000,10775000000,8707000000,109120000000,69300000000,5128000000,4507000000,298000000,0,39820000000,1844000000,15312000000,0,9900000000,15312000000,57787000000,2247000000,256144000000,None,195563000000,68184000000,12849000000,USD,155076000000,281279000000,126203000000,126203000000,74842000000,42291000000,39500000000,81791000000,None,-357000000,2174000000,357000000,281636000000,381000000,13475000000,13475000000,71328000000,11356000000,357000000,59972000000,53992000000,71685000000,91333000000,59972000000,USD,91495000000,2722000000,None,4989000000,7363000000,13475000000,31485000000,2317000000,None,59972000000,-20298000000,-69757000000,None,59296000000,59296000000,None,None,None,None,None,None,None,-59296000000,None,1440000000,None,59972000000,26734.277,297.863,3.6,3.08,-1
2022-12-19,88.22154999,88.44000244,90.55999756,88.20999908,90.26000214,29493000,2022-12-19,USD,365264000000,164795000000,21879000000,113762000000,2670000000,40258000000,202772000000,112668000000,59042000000,31044000000,2084000000,28960000000,212885000000,32795000000,91883000000,10775000000,8707000000,109120000000,69300000000,5128000000,4507000000,298000000,0,39820000000,1844000000,15312000000,0,9900000000,15312000000,57787000000,2247000000,256144000000,None,195563000000,68184000000,12849000000,USD,155076000000,281279000000,126203000000,126203000000,74842000000,42291000000,39500000000,81791000000,None,-357000000,2174000000,357000000,281636000000,381000000,13475000000,13475000000,71328000000,11356000000,357000000,59972000000,53992000000,71685000000,91333000000,59972000000,USD,91495000000,2722000000,None,4989000000,7363000000,13475000000,31485000000,2317000000,None,59972000000,-20298000000,-69757000000,None,59296000000,59296000000,None,None,None,None,None,None,None,-59296000000,None,1440000000,None,59972000000,26734.277,297.863,3.6,3.08,-1
2022-12-20,88.80011749,89.01999664,89.18000031,87.44000244,88.11000061,23453800,2022-12-20,USD,365264000000,164795000000,21879000000,113762000000,2670000000,40258000000,202772000000,112668000000,59042000000,31044000000,2084000000,28960000000,212885000000,32795000000,91883000000,10775000000,8707000000,109120000000,69300000000,5128000000,4507000000,298000000,0,39820000000,1844000000,15312000000,0,9900000000,15312000000,57787000000,2247000000,256144000000,None,195563000000,68184000000,12849000000,USD,155076000000,281279000000,126203000000,126203000000,74842000000,42291000000,39500000000,81791000000,None,-357000000,2174000000,357000000,281636000000,381000000,13475000000,13475000000,71328000000,11356000000,357000000,59972000000,53992000000,71685000000,91333000000,59972000000,USD,91495000000,2722000000,None,4989000000,7363000000,13475000000,31485000000,2317000000,None,59972000000,-20298000000,-69757000000,None,59296000000,59296000000,None,None,None,None,None,None,None,-59296000000,None,1440000000,None,59972000000,26734.277,297.863,3.6,3.08,1
2022-12-21,89.35873413,89.58000183,90.22000122,88.31999969,89.08000183,24745600,2022-12-21,USD,365264000000,164795000000,21879000000,113762000000,2670000000,40258000000,202772000000,112668000000,59042000000,31044000000,2084000000,28960000000,212885000000,32795000000,91883000000,10775000000,8707000000,109120000000,69300000000,5128000000,4507000000,298000000,0,39820000000,1844000000,15312000000,0,9900000000,15312000000,57787000000,2247000000,256144000000,None,195563000000,68184000000,12849000000,USD,155076000000,281279000000,126203000000,126203000000,74842000000,42291000000,39500000000,81791000000,None,-357000000,2174000000,357000000,281636000000,381000000,13475000000,13475000000,71328000000,11356000000,357000000,59972000000,53992000000,71685000000,91333000000,59972000000,USD,91495000000,2722000000,None,4989000000,7363000000,13475000000,31485000000,2317000000,None,59972000000,-20298000000,-69757000000,None,59296000000,59296000000,None,None,None,None,None,None,None,-59296000000,None,1440000000,None,59972000000,26734.277,297.863,3.6,3.08,1
2022-12-22,87.54322815,87.76000214,88.54000092,86.31999969,88.16000366,27658300,2022-12-22,USD,365264000000,164795000000,21879000000,113762000000,2670000000,40258000000,202772000000,112668000000,59042000000,31044000000,2084000000,28960000000,212885000000,32795000000,91883000000,10775000000,8707000000,109120000000,69300000000,5128000000,4507000000,298000000,0,39820000000,1844000000,15312000000,0,9900000000,15312000000,57787000000,2247000000,256144000000,None,195563000000,68184000000,12849000000,USD,155076000000,281279000000,126203000000,126203000000,74842000000,42291000000,39500000000,81791000000,None,-357000000,2174000000,357000000,281636000000,381000000,13475000000,13475000000,71328000000,11356000000,357000000,59972000000,53992000000,71685000000,91333000000,59972000000,USD,91495000000,2722000000,None,4989000000,7363000000,13475000000,31485000000,2317000000,None,59972000000,-20298000000,-69757000000,None,59296000000,59296000000,None,None,None,None,None,None,None,-59296000000,None,1440000000,None,59972000000,26734.277,297.863,3.6,3.08,-1
2022-12-23,89.00959778,89.23000336,89.55000305,87.06999969,87.11000061,23003000,2022-12-23,USD,365264000000,164795000000,21879000000,113762000000,2670000000,40258000000,202772000000,112668000000,59042000000,31044000000,2084000000,28960000000,212885000000,32795000000,91883000000,10775000000,8707000000,109120000000,69300000000,5128000000,4507000000,298000000,0,39820000000,1844000000,15312000000,0,9900000000,15312000000,57787000000,2247000000,256144000000,None,195563000000,68184000000,12849000000,USD,155076000000,281279000000,126203000000,126203000000,74842000000,42291000000,39500000000,81791000000,None,-357000000,2174000000,357000000,281636000000,381000000,13475000000,13475000000,71328000000,11356000000,357000000,59972000000,53992000000,71685000000,91333000000,59972000000,USD,91495000000,2722000000,None,4989000000,7363000000,13475000000,31485000000,2317000000,None,59972000000,-20298000000,-69757000000,None,59296000000,59296000000,None,None,None,None,None,None,None,-59296000000,None,1440000000,None,59972000000,26734.277,297.863,3.6,3.08,1
2022-12-27,87.17414093,87.38999939,88.94000244,87.01000214,88.80000305,20097300,2022-12-27,USD,365264000000,164795000000,21879000000,113762000000,2670000000,40258000000,202772000000,112668000000,59042000000,31044000000,2084000000,28960000000,212885000000,32795000000,91883000000,10775000000,8707000000,109120000000,69300000000,5128000000,4507000000,298000000,0,39820000000,1844000000,15312000000,0,9900000000,15312000000,57787000000,2247000000,256144000000,None,195563000000,68184000000,12849000000,USD,155076000000,281279000000,126203000000,126203000000,74842000000,42291000000,39500000000,81791000000,None,-357000000,2174000000,357000000,281636000000,381000000,13475000000,13475000000,71328000000,11356000000,357000000,59972000000,53992000000,71685000000,91333000000,59972000000,USD,91495000000,2722000000,None,4989000000,7363000000,13475000000,31485000000,2317000000,None,59972000000,-20298000000,-69757000000,None,59296000000,59296000000,None,None,None,None,None,None,None,-59296000000,None,1440000000,None,59972000000,26734.277,297.863,3.6,3.08,-1
2022-12-28,85.80752563,86.01999664,88.04000092,85.94000244,86.98000336,19523200,2022-12-28,USD,365264000000,164795000000,21879000000,113762000000,2670000000,40258000000,202772000000,112668000000,59042000000,31044000000,2084000000,28960000000,212885000000,32795000000,91883000000,10775000000,8707000000,109120000000,69300000000,5128000000,4507000000,298000000,0,39820000000,1844000000,15312000000,0,9900000000,15312000000,57787000000,2247000000,256144000000,None,195563000000,68184000000,12849000000,USD,155076000000,281279000000,126203000000,126203000000,74842000000,42291000000,39500000000,81791000000,None,-357000000,2174000000,357000000,281636000000,381000000,13475000000,13475000000,71328000000,11356000000,357000000,59972000000,53992000000,71685000000,91333000000,59972000000,USD,91495000000,2722000000,None,4989000000,7363000000,13475000000,31485000000,2317000000,None,59972000000,-20298000000,-69757000000,None,59296000000,59296000000,None,None,None,None,None,None,None,-59296000000,None,1440000000,None,59972000000,26734.277,297.863,3.6,3.08,-1
2022-12-29,88.23152161,88.44999695,88.84999847,86.61000061,86.62000275,23333500,2022-12-29,USD,365264000000,164795000000,21879000000,113762000000,2670000000,40258000000,202772000000,112668000000,59042000000,31044000000,2084000000,28960000000,212885000000,32795000000,91883000000,10775000000,8707000000,109120000000,69300000000,5128000000,4507000000,298000000,0,39820000000,1844000000,15312000000,0,9900000000,15312000000,57787000000,2247000000,256144000000,None,195563000000,68184000000,12849000000,USD,155076000000,281279000000,126203000000,126203000000,74842000000,42291000000,39500000000,81791000000,None,-357000000,2174000000,357000000,281636000000,381000000,13475000000,13475000000,71328000000,11356000000,357000000,59972000000,53992000000,71685000000,91333000000,59972000000,USD,91495000000,2722000000,None,4989000000,7363000000,13475000000,31485000000,2317000000,None,59972000000,-20298000000,-69757000000,None,59296000000,59296000000,None,None,None,None,None,None,None,-59296000000,None,1440000000,None,59972000000,26734.277,297.863,3.6,3.08,1
2022-12-30,88.0120697,88.23000336,88.30000305,86.56999969,86.98000336,23986300,2022-12-30,USD,365264000000,164795000000,21879000000,113762000000,2670000000,40258000000,202772000000,112668000000,59042000000,31044000000,2084000000,28960000000,212885000000,32795000000,91883000000,10775000000,8707000000,109120000000,69300000000,5128000000,4507000000,298000000,0,39820000000,1844000000,15312000000,0,9900000000,15312000000,57787000000,2247000000,256144000000,None,195563000000,68184000000,12849000000,USD,155076000000,281279000000,126203000000,126203000000,74842000000,42291000000,39500000000,81791000000,None,-357000000,2174000000,357000000,281636000000,381000000,13475000000,13475000000,71328000000,11356000000,357000000,59972000000,53992000000,71685000000,91333000000,59972000000,USD,91495000000,2722000000,None,4989000000,7363000000,13475000000,31485000000,2317000000,None,59972000000,-20298000000,-69757000000,None,59296000000,59296000000,None,None,None,None,None,None,None,-59296000000,None,1440000000,None,59972000000,26734.277,297.863,3.6,3.08,1
2023-01-03,88.89987183,89.12000275,91.05000305,88.51999664,89.58999634,28131200,2023-01-03,USD,402392000000,171530000000,24048000000,110916000000,None,47964000000,233962000000,134345000000,67458000000,29198000000,None,29198000000,203704000000,34108000000,86868000000,12650000000,10051000000,119013000000,81814000000,7493000000,5048000000,1363000000,0,37199000000,1383000000,14862000000,1000000000,10300000000,14862000000,67393000000,1616000000,283379000000,None,211247000000,76534000000,12460000000,USD,172227000000,305559000000,133332000000,133332000000,84293000000,44342000000,45427000000,93702000000,None,-308000000,3414000000,308000000,305867000000,299000000,11946000000,11946000000,85717000000,11922000000,308000000,73795000000,76996000000,86025000000,100032000000,73795000000,USD,101746000000,3173000000,None,5126000000,9976000000,11946000000,32251000000,7833000000,2276000000,73795000000,-27063000000,-72093000000,None,61504000000,61504000000,None,None,None,None,None,None,None,-61504000000,None,None,None,73795000000,27164.359,300.356,3.4,4.33,-1
